VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,01/01/2020 12:20:28 AM,01/01/2020 12:24:30 AM,1.0,1.35,1.0,N,239.0,24.0,1.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5
2.0,01/01/2020 12:25:53 AM,01/01/2020 12:35:45 AM,1.0,5.19,1.0,N,24.0,243.0,2.0,0.5,0.5,0.0,0.0,0.3,17.3,0.0
2.0,01/01/2020 12:11:46 AM,01/01/2020 12:17:54 AM,1.0,0.5,1.0,N,211.0,231.0,1.0,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,01/01/2020 12:22:30 AM,01/01/2020 12:43:08 AM,1.0,3.46,1.0,N,211.0,246.0,2.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5
2.0,01/01/2020 12:44:37 AM,01/01/2020 01:46:33 AM,1.0,6.7,1.0,N,50.0,7.0,1.0,0.5,0.5,8.46,0.0,0.3,50.76,2.5
1.0,01/01/2020 12:08:54 AM,01/01/2020 12:24:20 AM,4.0,3.5,1.0,N,234.0,140.0,1.0,3.0,0.5,3.46,0.0,0.3,20.76,2.5
1.0,01/01/2020 12:26:50 AM,01/01/2020 12:38:36 AM,1.0,3.6,1.0,N,140.0,41.0,2.0,3.0,0.5,0.0,0.0,0.3,16.3,2.5
1.0,01/01/2020 12:58:36 AM,01/01/2020 01:04:38 AM,2.0,1.3,1.0,N,262.0,140.0,1.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2.0,01/01/2020 12:02:15 AM,01/01/2020 12:13:28 AM,1.0,6.46,1.0,N,142.0,244.0,1.0,0.5,0.5,2.28,0.0,0.3,25.08,2.5
2.0,01/01/2020 12:24:45 AM,01/01/2020 12:32:07 AM,1.0,1.25,1.0,N,166.0,238.0,1.0,0.5,0.5,2.83,0.0,0.3,14.13,2.5
2.0,01/01/2020 12:37:17 AM,01/01/2020 12:39:44 AM,1.0,0.51,1.0,N,239.0,239.0,1.0,0.5,0.5,1.17,0.0,0.3,8.97,2.5
1.0,01/01/2020 12:39:20 AM,01/01/2020 12:40:06 AM,1.0,2.4,5.0,N,90.0,90.0,3.0,0.0,0.0,0.0,0.0,0.3,100.3,0.0
2.0,01/01/2020 12:41:18 AM,01/01/2020 01:25:00 AM,1.0,2.43,1.0,N,239.0,186.0,2.0,0.5,0.5,0.0,0.0,0.3,29.3,2.5
2.0,01/01/2020 12:12:19 AM,01/01/2020 12:18:54 AM,2.0,1.4,1.0,N,263.0,140.0,1.0,0.5,0.5,2.06,0.0,0.3,12.36,2.5
2.0,01/01/2020 12:21:22 AM,01/01/2020 12:35:22 AM,2.0,2.67,1.0,N,140.0,143.0,2.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
2.0,01/01/2020 12:37:27 AM,01/01/2020 12:50:39 AM,2.0,2.33,1.0,N,143.0,236.0,1.0,0.5,0.5,2.0,0.0,0.3,16.8,2.5
2.0,01/01/2020 12:53:56 AM,01/01/2020 01:13:51 AM,1.0,3.75,1.0,N,236.0,107.0,1.0,0.5,0.5,2.0,0.0,0.3,21.3,2.5
1.0,01/01/2020 12:14:05 AM,01/01/2020 12:40:50 AM,2.0,2.1,1.0,N,48.0,107.0,1.0,3.0,0.5,4.05,0.0,0.3,24.35,2.5
2.0,01/01/2020 12:14:44 AM,01/01/2020 12:23:35 AM,1.0,1.78,1.0,N,161.0,141.0,2.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
2.0,01/01/2020 12:25:31 AM,01/01/2020 12:38:12 AM,1.0,3.16,1.0,N,141.0,224.0,2.0,0.5,0.5,0.0,0.0,0.3,15.3,2.5
