"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"2","01/01/2021 12:37:55 AM","01/01/2021 12:42:21 AM",1.0,1.33,1.0,N,239.0,151.0,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
"2","01/01/2021 12:06:11 AM","01/01/2021 12:23:40 AM",1.0,8.06,1.0,N,75.0,264.0,1.0,24.5,0.5,0.5,5.66,0.0,0.3,33.96,2.5
"2","01/01/2021 12:30:16 AM","01/01/2021 12:38:53 AM",2.0,2.6,1.0,N,90.0,142.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
"2","01/01/2021 12:46:02 AM","01/01/2021 12:51:20 AM",1.0,1.4,1.0,N,48.0,142.0,1.0,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
"2","01/01/2021 12:11:49 AM","01/01/2021 12:17:32 AM",1.0,2.44,1.0,N,137.0,232.0,2.0,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
"2","01/01/2021 12:27:59 AM","01/01/2021 12:37:25 AM",1.0,1.58,1.0,N,79.0,45.0,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
"2","01/01/2021 12:49:31 AM","01/01/2021 12:59:10 AM",1.0,3.98,1.0,N,224.0,75.0,2.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
"2","01/01/2021 12:52:26 AM","01/01/2021 12:56:08 AM",1.0,1.06,1.0,N,236.0,75.0,1.0,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
"2","01/01/2021 12:23:24 AM","01/01/2021 12:34:29 AM",2.0,1.91,1.0,N,140.0,142.0,2.0,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
"2","01/01/2021 12:12:41 AM","01/01/2021 12:26:47 AM",1.0,4.13,1.0,N,161.0,226.0,1.0,14.5,0.5,0.5,3.66,0.0,0.3,21.96,2.5
"2","01/01/2021 12:23:29 AM","01/01/2021 12:35:03 AM",2.0,4.12,1.0,N,162.0,74.0,2.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
"2","01/01/2021 12:46:17 AM","01/01/2021 12:54:25 AM",2.0,2.22,1.0,N,144.0,170.0,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
"2","01/01/2021 12:28:16 AM","01/01/2021 12:51:44 AM",1.0,7.11,1.0,N,264.0,264.0,2.0,23.5,0.5,0.5,0.0,0.0,0.3,24.8,0.0
"2","01/01/2021 12:42:35 AM","01/01/2021 12:54:41 AM",3.0,1.61,1.0,N,229.0,237.0,2.0,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
