VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:06:22 PM,02/15/2021 02:19:36 PM,1.0,2.42,1.0,N,144.0,186.0,1.0,11.0,0.0,0.5,2.0,0.0,0.3,16.3,2.5
2,02/15/2021 02:27:51 PM,02/15/2021 02:34:05 PM,1.0,1.18,1.0,N,230.0,237.0,1.0,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
2,02/15/2021 02:40:38 PM,02/15/2021 02:49:59 PM,1.0,1.18,1.0,N,237.0,140.0,2.0,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
2,02/15/2021 02:55:03 PM,02/15/2021 03:10:11 PM,1.0,2.84,1.0,N,140.0,186.0,2.0,13.0,0.0,0.5,0.0,0.0,0.3,16.3,2.5
1,02/15/2021 02:34:59 PM,02/15/2021 02:37:30 PM,1.0,0.5,1.0,N,237.0,237.0,1.0,4.0,2.5,0.5,1.45,0.0,0.3,8.75,2.5
1,02/15/2021 02:22:13 PM,02/15/2021 02:34:57 PM,1.0,1.8,1.0,N,239.0,236.0,1.0,10.5,2.5,0.5,2.75,0.0,0.3,16.55,2.5
1,02/15/2021 02:35:52 PM,02/15/2021 02:42:35 PM,1.0,1.0,1.0,N,236.0,75.0,2.0,6.5,2.5,0.5,0.0,0.0,0.3,9.8,2.5
2,02/15/2021 02:03:11 PM,02/15/2021 02:10:01 PM,1.0,1.77,1.0,N,170.0,141.0,1.0,7.5,0.0,0.5,2.0,0.0,0.3,12.8,2.5
2,02/15/2021 02:27:25 PM,02/15/2021 02:51:08 PM,1.0,8.29,1.0,N,236.0,66.0,1.0,26.5,0.0,0.5,5.96,0.0,0.3,35.76,2.5
2,02/15/2021 02:13:46 PM,02/15/2021 02:28:29 PM,1.0,2.62,1.0,N,142.0,164.0,1.0,12.0,0.0,0.5,1.0,0.0,0.3,16.3,2.5
2,02/15/2021 02:37:14 PM,02/15/2021 02:54:32 PM,1.0,6.24,1.0,N,107.0,231.0,1.0,20.0,0.0,0.5,3.5,0.0,0.3,26.8,2.5
2,02/15/2021 02:29:29 PM,02/15/2021 02:43:53 PM,1.0,2.7,1.0,N,234.0,143.0,1.0,12.0,0.0,0.5,3.06,0.0,0.3,18.36,2.5
2,02/15/2021 02:02:15 PM,02/15/2021 02:17:13 PM,3.0,3.08,1.0,N,238.0,162.0,1.0,13.0,0.0,0.5,2.7,0.0,0.3,19.0,2.5
2,02/15/2021 02:24:03 PM,02/15/2021 02:27:23 PM,3.0,0.82,1.0,N,170.0,107.0,1.0,5.0,0.0,0.5,2.08,0.0,0.3,10.38,2.5
2,02/15/2021 02:34:38 PM,02/15/2021 02:43:40 PM,3.0,1.47,1.0,N,211.0,87.0,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
2,02/15/2021 02:47:27 PM,02/15/2021 02:57:59 PM,3.0,2.47,1.0,N,88.0,79.0,2.0,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
1,02/15/2021 02:53:16 PM,02/15/2021 03:28:48 PM,1.0,16.1,2.0,N,132.0,48.0,2.0,52.0,2.5,0.5,0.0,6.12,0.3,61.42,2.5
2,02/15/2021 02:21:19 PM,02/15/2021 02:28:58 PM,1.0,1.49,1.0,N,113.0,246.0,1.0,7.5,0.0,0.5,1.2,0.0,0.3,12.0,2.5
2,02/15/2021 02:59:29 PM,02/15/2021 03:19:14 PM,1.0,5.5,1.0,N,142.0,4.0,1.0,20.0,0.0,0.5,4.66,0.0,0.3,27.96,2.5
2,02/15/2021 01:58:43 PM,02/15/2021 02:19:51 PM,1.0,5.24,1.0,N,234.0,151.0,1.0,20.5,0.0,0.5,4.76,0.0,0.3,28.56,2.5
2,02/15/2021 02:31:45 PM,02/15/2021 02:37:57 PM,1.0,1.26,1.0,N,239.0,238.0,1.0,6.5,0.0,0.5,1.96,0.0,0.3,11.76,2.5
2,02/15/2021 02:43:00 PM,02/15/2021 02:47:50 PM,1.0,0.53,1.0,N,239.0,239.0,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,02/15/2021 02:32:11 PM,02/15/2021 02:36:57 PM,6.0,0.66,1.0,N,237.0,162.0,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,02/15/2021 02:42:03 PM,02/15/2021 02:51:22 PM,6.0,1.48,1.0,N,170.0,90.0,1.0,8.0,0.0,0.5,0.56,0.0,0.3,11.86,2.5
2,02/15/2021 02:55:31 PM,02/15/2021 03:02:37 PM,6.0,1.76,1.0,N,90.0,163.0,1.0,7.5,0.0,0.5,1.0,0.0,0.3,11.8,2.5
2,02/15/2021 02:05:44 PM,02/15/2021 02:11:14 PM,3.0,1.17,1.0,N,143.0,238.0,2.0,6.5,0.0,0.5,0.0,0.0,0.3,9.8,2.5
